dataset_name,oversampler_name,n_neighbors,oversampling_option,mean,std
optical_digits,BorderlineSMOTE,7,BASIC,0.8124927050937037,0.08265163145105626
optical_digits,SMOTE,3,ADVANCED,0.8438073458602777,0.045902205516508074
optical_digits,SMOTE,3,BASIC,0.8410465139392593,0.052873000977089586
optical_digits,SMOTE,5,ADVANCED,0.8502492330363889,0.04386470961346704
optical_digits,SMOTE,5,BASIC,0.8417055721650926,0.059172813236001355
optical_digits,SMOTE,7,ADVANCED,0.8569488196186111,0.04261419024493225
optical_digits,SMOTE,7,BASIC,0.8519972110738889,0.051170227302325975
ozone_level,ADASYN,3,ADVANCED,0.3776631740212037,0.0747647893087918
ozone_level,ADASYN,3,BASIC,0.36660056864981483,0.08428165406889014
ozone_level,ADASYN,5,ADVANCED,0.389495706845,0.07779666836861825
ozone_level,ADASYN,5,BASIC,0.3643923154223148,0.083858524734651
ozone_level,ADASYN,7,ADVANCED,0.39407805916287036,0.07864588503842998
ozone_level,ADASYN,7,BASIC,0.36600832854157406,0.07970904801311443
ozone_level,BorderlineSMOTE,3,ADVANCED,0.3852184731868518,0.0671306233492351
ozone_level,BorderlineSMOTE,3,BASIC,0.4066751583887963,0.07779368518646636
ozone_level,BorderlineSMOTE,5,ADVANCED,0.3905041855298148,0.06804739172400527
ozone_level,BorderlineSMOTE,5,BASIC,0.44080774973231485,0.09401797361242822
ozone_level,BorderlineSMOTE,7,ADVANCED,0.39280623341416665,0.07225725185757091
ozone_level,SMOTE,3,ADVANCED,0.37872879575703705,0.07403284148619019
ozone_level,SMOTE,3,BASIC,0.36773091403287034,0.0696858923849469
ozone_level,SMOTE,5,ADVANCED,0.3895087386238889,0.07264380934951006
ozone_level,SMOTE,5,BASIC,0.37882158399175925,0.07659886701944696
ozone_level,SMOTE,7,ADVANCED,0.39464612315462966,0.07208204058712658
ozone_level,SMOTE,7,BASIC,0.3764097626280556,0.07915319159757074
pen_digits,ADASYN,3,ADVANCED,0.9649210386037038,0.02610375731601949
pen_digits,ADASYN,3,BASIC,0.9010168792814816,0.10555355646326971
pen_digits,ADASYN,5,ADVANCED,0.9588365501024074,0.036759076427100135
pen_digits,ADASYN,5,BASIC,0.8343405260331481,0.1602621303242809
pen_digits,ADASYN,7,ADVANCED,0.9530672269048148,0.04737643313091665
pen_digits,BorderlineSMOTE,3,ADVANCED,0.961318130246389,0.02969142680936542
pen_digits,BorderlineSMOTE,3,BASIC,0.8827304169077778,0.1134449503733296
pen_digits,BorderlineSMOTE,5,ADVANCED,0.9649724029691668,0.026054483470840085
pen_digits,BorderlineSMOTE,5,BASIC,0.8882229173901852,0.1083304607558596
pen_digits,BorderlineSMOTE,7,ADVANCED,0.9664048880871295,0.024271525584190313
pen_digits,BorderlineSMOTE,7,BASIC,0.8839725346675,0.11505784697997334
pen_digits,SMOTE,3,ADVANCED,0.9326244272970371,0.06942677069157945
pen_digits,SMOTE,3,BASIC,0.9157353329850926,0.08974959375101102
pen_digits,SMOTE,5,ADVANCED,0.9328476791577778,0.07034392409562222
pen_digits,SMOTE,5,BASIC,0.9196705712127777,0.08681271113109536
pen_digits,SMOTE,7,ADVANCED,0.932880115409537,0.07150430502147052
pen_digits,SMOTE,7,BASIC,0.9152953751211111,0.087366396318299
satimage,ADASYN,3,ADVANCED,0.513165906340926,0.06003633863002444
satimage,ADASYN,3,BASIC,0.4984670203968518,0.06580101039043318
satimage,ADASYN,5,ADVANCED,0.5143982250381481,0.05889788006564585
satimage,ADASYN,5,BASIC,0.5007803573678704,0.0598501404627424
satimage,ADASYN,7,ADVANCED,0.5177305569056482,0.058247201660568605
satimage,BorderlineSMOTE,3,ADVANCED,0.5077085352457408,0.051037459977294655
satimage,BorderlineSMOTE,3,BASIC,0.5109939556556482,0.05525520195758417
satimage,BorderlineSMOTE,5,ADVANCED,0.5113849053285185,0.05090671128778529
satimage,BorderlineSMOTE,5,BASIC,0.5114115792660185,0.04386533327992548
satimage,BorderlineSMOTE,7,ADVANCED,0.512427311322963,0.04907714333988815
satimage,BorderlineSMOTE,7,BASIC,0.5063866833037036,0.04356390182275084
satimage,SMOTE,3,ADVANCED,0.5690519018444444,0.05519815102253361
satimage,SMOTE,3,BASIC,0.5553387210540741,0.05559200455929213
satimage,SMOTE,5,ADVANCED,0.5679357590412037,0.05354467607548898
satimage,SMOTE,5,BASIC,0.561841069296389,0.05223207377422615
satimage,SMOTE,7,ADVANCED,0.565976879533426,0.05226419137329762
satimage,SMOTE,7,BASIC,0.5573104431756482,0.05776310566021073
scene,ADASYN,3,ADVANCED,0.28015522151333333,0.04190398668901179
scene,ADASYN,3,BASIC,0.27721896200101853,0.04092129201935132
scene,ADASYN,5,ADVANCED,0.2844964032156482,0.03919745086822181
scene,ADASYN,5,BASIC,0.2800781170409259,0.03871117435941594
scene,ADASYN,7,ADVANCED,0.2893147823167593,0.03643222287168318
scene,ADASYN,7,BASIC,0.26679660426851853,0.0368042699115095
scene,BorderlineSMOTE,3,ADVANCED,0.2703435520261111,0.04965547722128364
scene,BorderlineSMOTE,3,BASIC,0.26294588948342595,0.04224916795225654
scene,BorderlineSMOTE,5,ADVANCED,0.2791195846327778,0.04580167876721431
scene,BorderlineSMOTE,5,BASIC,0.2625658512137037,0.038795586941413815
scene,BorderlineSMOTE,7,ADVANCED,0.27934768956712963,0.043401126323988105
scene,BorderlineSMOTE,7,BASIC,0.28170573475370375,0.05148555977357913
scene,SMOTE,3,ADVANCED,0.27987405579861113,0.043586858443762574
scene,SMOTE,3,BASIC,0.2659209941465741,0.03955912186580738
scene,SMOTE,5,ADVANCED,0.2872629240924074,0.043379364663098864
scene,SMOTE,5,BASIC,0.2767297169644444,0.041935653249687475
scene,SMOTE,7,ADVANCED,0.2885942201890741,0.04221801783561004
scene,SMOTE,7,BASIC,0.2686607121477778,0.03838251231464623
sick_euthyroid,ADASYN,3,ADVANCED,0.7847291908590741,0.06392279536792098
sick_euthyroid,ADASYN,3,BASIC,0.7937039549425926,0.07839541964164402
sick_euthyroid,ADASYN,5,ADVANCED,0.7861942348662962,0.05806735700224976
sick_euthyroid,ADASYN,5,BASIC,0.774691694978426,0.08406542110223826
sick_euthyroid,ADASYN,7,ADVANCED,0.7876832556007408,0.04675364113175981
sick_euthyroid,BorderlineSMOTE,3,ADVANCED,0.7876549538509259,0.03753029986513856
sick_euthyroid,BorderlineSMOTE,3,BASIC,0.8076989702223148,0.03471172124368108
sick_euthyroid,BorderlineSMOTE,5,ADVANCED,0.7895020030072222,0.03109531408247971
sick_euthyroid,BorderlineSMOTE,5,BASIC,0.793196138527963,0.05553208288682063
sick_euthyroid,BorderlineSMOTE,7,ADVANCED,0.7895900233546296,0.025112168393372516
sick_euthyroid,BorderlineSMOTE,7,BASIC,0.7896208445310186,0.048320812171528865
sick_euthyroid,SMOTE,3,ADVANCED,0.7863097201630557,0.06614304006282908
sick_euthyroid,SMOTE,3,BASIC,0.7896053985392593,0.06531327400471967
sick_euthyroid,SMOTE,5,ADVANCED,0.7862678052599075,0.06039647414594386
sick_euthyroid,SMOTE,5,BASIC,0.7891854400178704,0.08777593174558598
sick_euthyroid,SMOTE,7,ADVANCED,0.7871645240336111,0.05249343945271286
sick_euthyroid,SMOTE,7,BASIC,0.7800347480141667,0.09613812408497951
solar_flare_m0,ADASYN,3,ADVANCED,0.1931575230999074,0.09080806093957677
solar_flare_m0,ADASYN,3,BASIC,0.2191900759801852,0.07745258466916036
solar_flare_m0,ADASYN,5,ADVANCED,0.22114417048953705,0.10435066909323121
solar_flare_m0,ADASYN,5,BASIC,0.25880675423398153,0.09819006567561893
solar_flare_m0,ADASYN,7,ADVANCED,0.22971533802592592,0.11091019464341967
solar_flare_m0,ADASYN,7,BASIC,0.2924249991225,0.10794581100971427
solar_flare_m0,BorderlineSMOTE,3,ADVANCED,0.2584116747559259,0.10501444328158975
solar_flare_m0,BorderlineSMOTE,3,BASIC,0.21533252649944445,0.07189092867879236
solar_flare_m0,BorderlineSMOTE,5,ADVANCED,0.2619862154674074,0.10518974980339664
solar_flare_m0,BorderlineSMOTE,5,BASIC,0.2508480937826852,0.08890615757911333
solar_flare_m0,BorderlineSMOTE,7,ADVANCED,0.2658983268632407,0.1076032829323601
solar_flare_m0,BorderlineSMOTE,7,BASIC,0.24470705236277782,0.08122020352988985
solar_flare_m0,SMOTE,3,ADVANCED,0.2350899813125926,0.09812665536407708
solar_flare_m0,SMOTE,3,BASIC,0.24566373337166666,0.09103615190526353
solar_flare_m0,SMOTE,5,ADVANCED,0.2409772618027778,0.10785974387140082
solar_flare_m0,SMOTE,5,BASIC,0.2619384011635186,0.09492102791037083
solar_flare_m0,SMOTE,7,ADVANCED,0.24834858100009258,0.10835935351392176
solar_flare_m0,SMOTE,7,BASIC,0.23493432468601855,0.11009106203972714
spectrometer,ADASYN,3,ADVANCED,0.7157980599666667,0.13036101849459597
spectrometer,ADASYN,3,BASIC,0.7422815456225,0.09758850281296026
spectrometer,ADASYN,5,ADVANCED,0.7733399470825927,0.11845807043761597
spectrometer,ADASYN,5,BASIC,0.8330286328921297,0.07773468587691268
spectrometer,ADASYN,7,ADVANCED,0.8348287771808334,0.12818255675655008
spectrometer,BorderlineSMOTE,3,ADVANCED,0.6949206349326852,0.11526960740272962
spectrometer,BorderlineSMOTE,3,BASIC,0.780546737213889,0.11147177678611168
spectrometer,BorderlineSMOTE,5,ADVANCED,0.7134986772569445,0.11047065356769731
spectrometer,BorderlineSMOTE,5,BASIC,0.7003181951685186,0.14561173746517392
spectrometer,BorderlineSMOTE,7,ADVANCED,0.7553615520262038,0.11341082753814762
spectrometer,BorderlineSMOTE,7,BASIC,0.5475859788119445,0.19907713912137726
spectrometer,SMOTE,3,ADVANCED,0.6858686067067593,0.0939706547731184
spectrometer,SMOTE,3,BASIC,0.769367283945926,0.09106915252101615
spectrometer,SMOTE,5,ADVANCED,0.6850308642027778,0.09293468248193958
spectrometer,SMOTE,5,BASIC,0.7146935626116667,0.09214815402841547
spectrometer,SMOTE,7,ADVANCED,0.6826499118219446,0.09123099046294249
spectrometer,SMOTE,7,BASIC,0.820928865353889,0.08516535162933385
thyroid_sick,ADASYN,3,ADVANCED,0.7823046847219445,0.14609459852514298
thyroid_sick,ADASYN,3,BASIC,0.7778706131423149,0.14387524913726446
thyroid_sick,ADASYN,5,ADVANCED,0.7805640210583333,0.14636966354419192
thyroid_sick,ADASYN,5,BASIC,0.7457213728320371,0.13559485462702064
thyroid_sick,ADASYN,7,ADVANCED,0.7762279621567593,0.14200728931403042
thyroid_sick,ADASYN,7,BASIC,0.7530638903799074,0.14090278988242602
thyroid_sick,BorderlineSMOTE,3,ADVANCED,0.7825963105860185,0.13963683035922983
thyroid_sick,BorderlineSMOTE,3,BASIC,0.7674353246073148,0.1341359497416645
thyroid_sick,BorderlineSMOTE,5,ADVANCED,0.786366751320463,0.14320107309245717
thyroid_sick,BorderlineSMOTE,5,BASIC,0.7634744729069445,0.13701786710376287
thyroid_sick,BorderlineSMOTE,7,ADVANCED,0.7824486458432408,0.1406831666702762
thyroid_sick,BorderlineSMOTE,7,BASIC,0.7597362121416666,0.1318839225510089
thyroid_sick,SMOTE,3,ADVANCED,0.788918070017963,0.14326051651880592
thyroid_sick,SMOTE,3,BASIC,0.7836381045194445,0.16562347764199659
thyroid_sick,SMOTE,5,ADVANCED,0.7842657004521296,0.14385252967417228
thyroid_sick,SMOTE,5,BASIC,0.7502936107694445,0.16336759168550588
thyroid_sick,SMOTE,7,ADVANCED,0.7806187818937037,0.14372277162555266
thyroid_sick,SMOTE,7,BASIC,0.7579093362707408,0.1443586912717821
us_crime,ADASYN,3,ADVANCED,0.5726641946795371,0.04092437071828228
us_crime,ADASYN,3,BASIC,0.5545388406885186,0.06383522939588368
us_crime,ADASYN,5,ADVANCED,0.573708065368889,0.04060076610797694
us_crime,ADASYN,5,BASIC,0.5405319846183333,0.05639409316763463
us_crime,ADASYN,7,ADVANCED,0.5726276295969445,0.03924867254063469
us_crime,BorderlineSMOTE,3,ADVANCED,0.5791327183452778,0.030972525064871696
us_crime,BorderlineSMOTE,3,BASIC,0.5603180537617592,0.03200760592506113
us_crime,BorderlineSMOTE,5,ADVANCED,0.5774230241028704,0.029490464731155682
us_crime,BorderlineSMOTE,5,BASIC,0.5656606742878704,0.036528748228785234
us_crime,BorderlineSMOTE,7,ADVANCED,0.5750145789574074,0.030312480176763242
us_crime,BorderlineSMOTE,7,BASIC,0.5416951387277779,0.031286710061201754
us_crime,SMOTE,3,ADVANCED,0.5731317683799074,0.030789177697664618
us_crime,SMOTE,3,BASIC,0.5348127022544445,0.051225541727866794
us_crime,SMOTE,5,ADVANCED,0.5736499907188889,0.03182659653548781
us_crime,SMOTE,5,BASIC,0.5295868036852778,0.038841842162449215
us_crime,SMOTE,7,ADVANCED,0.5688009828074074,0.02957077541291857
us_crime,SMOTE,7,BASIC,0.5557548465911111,0.04390402131065383
wine_quality,ADASYN,3,ADVANCED,0.3827886867723148,0.07789327843566586
wine_quality,ADASYN,3,BASIC,0.33559659208648146,0.09755397211887916
wine_quality,ADASYN,5,ADVANCED,0.37145978154277776,0.07594922421377315
wine_quality,ADASYN,5,BASIC,0.3115217632017593,0.09946448352429885
wine_quality,ADASYN,7,ADVANCED,0.3651858518825,0.07476385439929588
wine_quality,ADASYN,7,BASIC,0.30093145714324077,0.08749377014754874
wine_quality,BorderlineSMOTE,3,ADVANCED,0.39812443076962967,0.061070222639477444
wine_quality,BorderlineSMOTE,3,BASIC,0.3388902921476852,0.0861955760689764
wine_quality,BorderlineSMOTE,5,ADVANCED,0.40852284026444446,0.061493152971115496
wine_quality,BorderlineSMOTE,5,BASIC,0.32465876156064816,0.07362803046418705
wine_quality,BorderlineSMOTE,7,ADVANCED,0.4007464732137963,0.061843564285610324
wine_quality,SMOTE,3,ADVANCED,0.4102813033926852,0.06258244459916121
wine_quality,SMOTE,3,BASIC,0.34163450455444444,0.0948661925058988
wine_quality,SMOTE,5,ADVANCED,0.3927929577247222,0.06319700950158266
wine_quality,SMOTE,5,BASIC,0.3358117031191667,0.09586837992234633
wine_quality,SMOTE,7,ADVANCED,0.38159251891083334,0.06632898116851434
wine_quality,SMOTE,7,BASIC,0.3237004729693519,0.09415776843410142
yeast_me2,ADASYN,3,ADVANCED,0.4835932830560185,0.13237421900857155
yeast_me2,ADASYN,3,BASIC,0.38177615243462965,0.11605499936834278
yeast_me2,ADASYN,5,ADVANCED,0.48777871388351857,0.1370359140023345
yeast_me2,ADASYN,5,BASIC,0.3641975223414815,0.11726009174724775
yeast_me2,ADASYN,7,ADVANCED,0.4835891420690741,0.13647610164233928
yeast_me2,ADASYN,7,BASIC,0.35004861283277783,0.11868787034950148
yeast_me2,BorderlineSMOTE,3,ADVANCED,0.45602164383407406,0.10243610283486376
yeast_me2,BorderlineSMOTE,3,BASIC,0.4522897563201852,0.09897771217735082
yeast_me2,BorderlineSMOTE,5,ADVANCED,0.4785443546800926,0.10665297361274352
yeast_me2,BorderlineSMOTE,5,BASIC,0.45452524788083337,0.11029134224185887
yeast_me2,BorderlineSMOTE,7,ADVANCED,0.4902716430351853,0.11516766279345488
yeast_me2,SMOTE,3,ADVANCED,0.47665913753305555,0.1100340642593072
yeast_me2,SMOTE,3,BASIC,0.3794613442731482,0.1137719610586936
yeast_me2,SMOTE,5,ADVANCED,0.484840249537963,0.12216110159339424
yeast_me2,SMOTE,5,BASIC,0.38103449930166666,0.10572580468052882
yeast_me2,SMOTE,7,ADVANCED,0.4792312240198149,0.12354455794507771
yeast_me2,SMOTE,7,BASIC,0.38098704656750004,0.10074245928093559
yeast_ml8,ADASYN,3,ADVANCED,0.08863767063648148,0.07297316783601028
yeast_ml8,ADASYN,3,BASIC,0.13874624316111112,0.050860416334295076
yeast_ml8,ADASYN,5,ADVANCED,0.08980460523185185,0.07371662418596817
yeast_ml8,ADASYN,5,BASIC,0.16103379817787036,0.03668306609858641
yeast_ml8,ADASYN,7,ADVANCED,0.08805025383425925,0.07189654135060658
yeast_ml8,BorderlineSMOTE,3,ADVANCED,0.03910884575944445,0.060628393661308205
yeast_ml8,BorderlineSMOTE,3,BASIC,0.09918904321490742,0.0518003675889658
yeast_ml8,BorderlineSMOTE,5,ADVANCED,0.04326159607962963,0.0651875305335842
yeast_ml8,BorderlineSMOTE,5,BASIC,0.09564766779425926,0.04953735583916769
yeast_ml8,BorderlineSMOTE,7,ADVANCED,0.04812034229314815,0.06952395278583821
yeast_ml8,BorderlineSMOTE,7,BASIC,0.10464804703037037,0.04942868262688284
yeast_ml8,SMOTE,3,ADVANCED,0.060431691512407404,0.07866901804986766
yeast_ml8,SMOTE,3,BASIC,0.15991007769712964,0.04087152028293272
yeast_ml8,SMOTE,5,ADVANCED,0.06636088070416667,0.0742343885804286
yeast_ml8,SMOTE,5,BASIC,0.15022911238222222,0.039936603224030684
yeast_ml8,SMOTE,7,ADVANCED,0.06879464844342593,0.07273394376703245
yeast_ml8,SMOTE,7,BASIC,0.1503539076025926,0.033330186857683686
